cx,cy,cz,count,density,i,j,k
-0.440367,0.274128,0.054358,52,4.16000000e+05,0,24,8
-0.390367,-0.525872,-0.295642,89,7.12000000e+05,1,8,1
-0.390367,-0.475872,-0.295642,74,5.92000000e+05,1,9,1
-0.390367,-0.475872,-0.245642,2,1.60000000e+04,1,9,2
-0.390367,-0.325872,-0.145642,136,1.08800000e+06,1,12,4
-0.390367,-0.325872,-0.095642,310,2.48000000e+06,1,12,5
-0.390367,-0.325872,-0.045642,137,1.09600000e+06,1,12,6
-0.390367,-0.175872,0.004358,6,4.80000000e+04,1,15,7
-0.390367,-0.125872,-0.195642,205,1.64000000e+06,1,16,3
-0.390367,-0.125872,-0.145642,396,3.16800000e+06,1,16,4
-0.390367,-0.125872,-0.095642,599,4.79200000e+06,1,16,5
-0.390367,-0.125872,-0.045642,388,3.10400000e+06,1,16,6
-0.390367,-0.125872,0.004358,396,3.16800000e+06,1,16,7
-0.390367,-0.125872,0.054358,169,1.35200000e+06,1,16,8
-0.390367,-0.075872,-0.095642,16,1.28000000e+05,1,17,5
-0.390367,-0.075872,-0.045642,217,1.73600000e+06,1,17,6
-0.390367,-0.075872,0.004358,206,1.64800000e+06,1,17,7
-0.390367,-0.075872,0.054358,278,2.22400000e+06,1,17,8
-0.390367,-0.075872,0.104358,6,4.80000000e+04,1,17,9
-0.390367,-0.025872,-0.095642,222,1.77600000e+06,1,18,5
-0.390367,-0.025872,-0.045642,534,4.27200000e+06,1,18,6
-0.390367,-0.025872,0.004358,199,1.59200000e+06,1,18,7
-0.390367,-0.025872,0.054358,384,3.07200000e+06,1,18,8
-0.390367,-0.025872,0.104358,197,1.57600000e+06,1,18,9
-0.390367,-0.025872,0.154358,1,8.00000000e+03,1,18,10
-0.390367,0.024128,-0.345642,9,7.20000000e+04,1,19,0
-0.390367,0.024128,-0.295642,14,1.12000000e+05,1,19,1
-0.390367,0.024128,-0.095642,1,8.00000000e+03,1,19,5
-0.390367,0.024128,-0.045642,266,2.12800000e+06,1,19,6
-0.390367,0.024128,0.004358,455,3.64000000e+06,1,19,7
-0.390367,0.024128,0.054358,371,2.96800000e+06,1,19,8
-0.390367,0.024128,0.104358,199,1.59200000e+06,1,19,9
-0.390367,0.024128,0.154358,17,1.36000000e+05,1,19,10
-0.390367,0.074128,-0.345642,83,6.64000000e+05,1,20,0
-0.390367,0.074128,-0.295642,386,3.08800000e+06,1,20,1
-0.390367,0.074128,-0.245642,392,3.13600000e+06,1,20,2
-0.390367,0.074128,-0.195642,63,5.04000000e+05,1,20,3
-0.390367,0.074128,-0.045642,127,1.01600000e+06,1,20,6
-0.390367,0.074128,0.004358,276,2.20800000e+06,1,20,7
-0.390367,0.074128,0.054358,246,1.96800000e+06,1,20,8
-0.390367,0.074128,0.104358,145,1.16000000e+06,1,20,9
-0.390367,0.074128,0.154358,37,2.96000000e+05,1,20,10
-0.390367,0.124128,-0.345642,4,3.20000000e+04,1,21,0
-0.390367,0.124128,-0.295642,218,1.74400000e+06,1,21,1
-0.390367,0.124128,-0.245642,74,5.92000000e+05,1,21,2
-0.390367,0.124128,-0.195642,301,2.40800000e+06,1,21,3
-0.390367,0.124128,-0.145642,233,1.86400000e+06,1,21,4
-0.390367,0.124128,-0.095642,280,2.24000000e+06,1,21,5
-0.390367,0.124128,-0.045642,30,2.40000000e+05,1,21,6
-0.390367,0.174128,-0.295642,151,1.20800000e+06,1,22,1
-0.390367,0.174128,-0.245642,226,1.80800000e+06,1,22,2
-0.390367,0.174128,-0.095642,86,6.88000000e+05,1,22,5
-0.390367,0.174128,-0.045642,388,3.10400000e+06,1,22,6
-0.390367,0.174128,0.004358,312,2.49600000e+06,1,22,7
-0.390367,0.174128,0.054358,109,8.72000000e+05,1,22,8
-0.390367,0.224128,-0.245642,343,2.74400000e+06,1,23,2
-0.390367,0.224128,-0.195642,320,2.56000000e+06,1,23,3
-0.390367,0.224128,-0.145642,3,2.40000000e+04,1,23,4
-0.390367,0.224128,0.004358,64,5.12000000e+05,1,23,7
-0.390367,0.224128,0.054358,287,2.29600000e+06,1,23,8
-0.390367,0.224128,0.104358,129,1.03200000e+06,1,23,9
-0.390367,0.274128,-0.195642,154,1.23200000e+06,1,24,3
-0.390367,0.274128,-0.145642,353,2.82400000e+06,1,24,4
-0.390367,0.274128,-0.095642,375,3.00000000e+06,1,24,5
-0.390367,0.274128,-0.045642,255,2.04000000e+06,1,24,6
-0.390367,0.274128,0.004358,227,1.81600000e+06,1,24,7
-0.390367,0.274128,0.054358,339,2.71200000e+06,1,24,8
-0.390367,0.274128,0.104358,102,8.16000000e+05,1,24,9
-0.390367,0.324128,-0.095642,98,7.84000000e+05,1,25,5
-0.390367,0.324128,-0.045642,247,1.97600000e+06,1,25,6
-0.390367,0.324128,0.004358,157,1.25600000e+06,1,25,7
-0.390367,0.324128,0.054358,63,5.04000000e+05,1,25,8
-0.340367,-0.675872,-0.295642,16,1.28000000e+05,2,5,1
-0.340367,-0.625872,-0.345642,115,9.20000000e+05,2,6,0
-0.340367,-0.625872,-0.295642,428,3.42400000e+06,2,6,1
-0.340367,-0.625872,-0.245642,93,7.44000000e+05,2,6,2
-0.340367,-0.575872,-0.345642,302,2.41600000e+06,2,7,0
-0.340367,-0.575872,-0.295642,318,2.54400000e+06,2,7,1
-0.340367,-0.575872,-0.245642,561,4.48800000e+06,2,7,2
-0.340367,-0.575872,-0.195642,41,3.28000000e+05,2,7,3
-0.340367,-0.525872,-0.345642,355,2.84000000e+06,2,8,0
-0.340367,-0.525872,-0.295642,143,1.14400000e+06,2,8,1
-0.340367,-0.525872,-0.245642,345,2.76000000e+06,2,8,2
-0.340367,-0.525872,-0.195642,304,2.43200000e+06,2,8,3
-0.340367,-0.475872,-0.345642,44,3.52000000e+05,2,9,0
-0.340367,-0.475872,-0.295642,336,2.68800000e+06,2,9,1
-0.340367,-0.475872,-0.245642,277,2.21600000e+06,2,9,2
-0.340367,-0.475872,-0.195642,424,3.39200000e+06,2,9,3
-0.340367,-0.475872,-0.145642,41,3.28000000e+05,2,9,4
-0.340367,-0.425872,-0.295642,240,1.92000000e+06,2,10,1
-0.340367,-0.425872,-0.245642,321,2.56800000e+06,2,10,2
-0.340367,-0.425872,-0.195642,394,3.15200000e+06,2,10,3
-0.340367,-0.425872,-0.145642,145,1.16000000e+06,2,10,4
-0.340367,-0.425872,-0.095642,48,3.84000000e+05,2,10,5
-0.340367,-0.425872,-0.045642,137,1.09600000e+06,2,10,6
-0.340367,-0.425872,0.004358,3,2.40000000e+04,2,10,7
-0.340367,-0.375872,-0.245642,206,1.64800000e+06,2,11,2
-0.340367,-0.375872,-0.195642,334,2.67200000e+06,2,11,3
-0.340367,-0.375872,-0.145642,55,4.40000000e+05,2,11,4
-0.340367,-0.375872,-0.095642,256,2.04800000e+06,2,11,5
-0.340367,-0.375872,-0.045642,389,3.11200000e+06,2,11,6
-0.340367,-0.375872,0.004358,115,9.20000000e+05,2,11,7
-0.340367,-0.325872,-0.095642,357,2.85600000e+06,2,12,5
-0.340367,-0.325872,-0.045642,287,2.29600000e+06,2,12,6
-0.340367,-0.325872,0.004358,194,1.55200000e+06,2,12,7
-0.340367,-0.275872,-0.095642,19,1.52000000e+05,2,13,5
-0.340367,-0.275872,-0.045642,266,2.12800000e+06,2,13,6
-0.340367,-0.275872,0.004358,165,1.32000000e+06,2,13,7
-0.340367,-0.175872,-0.045642,16,1.28000000e+05,2,15,6
-0.340367,-0.175872,0.004358,92,7.36000000e+05,2,15,7
-0.340367,-0.125872,-0.095642,210,1.68000000e+06,2,16,5
-0.340367,-0.125872,-0.045642,275,2.20000000e+06,2,16,6
-0.340367,-0.125872,0.004358,435,3.48000000e+06,2,16,7
-0.340367,-0.125872,0.054358,416,3.32800000e+06,2,16,8
-0.340367,-0.125872,0.104358,347,2.77600000e+06,2,16,9
-0.340367,-0.125872,0.154358,42,3.36000000e+05,2,16,10
-0.340367,-0.075872,-0.095642,71,5.68000000e+05,2,17,5
-0.340367,-0.075872,-0.045642,113,9.04000000e+05,2,17,6
-0.340367,-0.075872,0.054358,194,1.55200000e+06,2,17,8
-0.340367,-0.075872,0.104358,457,3.65600000e+06,2,17,9
-0.340367,-0.075872,0.154358,374,2.99200000e+06,2,17,10
-0.340367,-0.075872,0.204358,29,2.32000000e+05,2,17,11
-0.340367,-0.025872,-0.095642,4,3.20000000e+04,2,18,5
-0.340367,-0.025872,-0.045642,217,1.73600000e+06,2,18,6
-0.340367,-0.025872,0.054358,36,2.88000000e+05,2,18,8
-0.340367,-0.025872,0.104358,294,2.35200000e+06,2,18,9
-0.340367,-0.025872,0.154358,461,3.68800000e+06,2,18,10
-0.340367,-0.025872,0.204358,228,1.82400000e+06,2,18,11
-0.340367,-0.025872,0.254358,3,2.40000000e+04,2,18,12
-0.340367,0.024128,-0.345642,269,2.15200000e+06,2,19,0
-0.340367,0.024128,-0.295642,282,2.25600000e+06,2,19,1
-0.340367,0.024128,-0.245642,56,4.48000000e+05,2,19,2
-0.340367,0.024128,-0.095642,2,1.60000000e+04,2,19,5
-0.340367,0.024128,-0.045642,316,2.52800000e+06,2,19,6
-0.340367,0.024128,0.004358,73,5.84000000e+05,2,19,7
-0.340367,0.024128,0.104358,155,1.24000000e+06,2,19,9
-0.340367,0.024128,0.154358,426,3.40800000e+06,2,19,10
-0.340367,0.024128,0.204358,140,1.12000000e+06,2,19,11
-0.340367,0.024128,0.254358,3,2.40000000e+04,2,19,12
-0.340367,0.074128,-0.345642,236,1.88800000e+06,2,20,0
-0.340367,0.074128,-0.295642,4,3.20000000e+04,2,20,1
-0.340367,0.074128,-0.245642,197,1.57600000e+06,2,20,2
-0.340367,0.074128,-0.195642,125,1.00000000e+06,2,20,3
-0.340367,0.074128,-0.045642,298,2.38400000e+06,2,20,6
-0.340367,0.074128,0.004358,391,3.12800000e+06,2,20,7
-0.340367,0.074128,0.054358,194,1.55200000e+06,2,20,8
-0.340367,0.074128,0.104358,194,1.55200000e+06,2,20,9
-0.340367,0.074128,0.154358,325,2.60000000e+06,2,20,10
-0.340367,0.074128,0.204358,292,2.33600000e+06,2,20,11
-0.340367,0.074128,0.254358,14,1.12000000e+05,2,20,12
-0.340367,0.124128,-0.345642,97,7.76000000e+05,2,21,0
-0.340367,0.124128,-0.295642,329,2.63200000e+06,2,21,1
-0.340367,0.124128,-0.195642,63,5.04000000e+05,2,21,3
-0.340367,0.124128,-0.145642,232,1.85600000e+06,2,21,4
-0.340367,0.124128,-0.095642,352,2.81600000e+06,2,21,5
-0.340367,0.124128,-0.045642,512,4.09600000e+06,2,21,6
-0.340367,0.124128,0.004358,500,4.00000000e+06,2,21,7
-0.340367,0.124128,0.054358,537,4.29600000e+06,2,21,8
-0.340367,0.124128,0.104358,487,3.89600000e+06,2,21,9
-0.340367,0.124128,0.154358,351,2.80800000e+06,2,21,10
-0.340367,0.124128,0.204358,319,2.55200000e+06,2,21,11
-0.340367,0.124128,0.254358,25,2.00000000e+05,2,21,12
-0.340367,0.174128,-0.295642,273,2.18400000e+06,2,22,1
-0.340367,0.174128,-0.245642,193,1.54400000e+06,2,22,2
-0.340367,0.174128,-0.045642,30,2.40000000e+05,2,22,6
-0.340367,0.174128,0.004358,112,8.96000000e+05,2,22,7
-0.340367,0.174128,0.054358,160,1.28000000e+06,2,22,8
-0.340367,0.174128,0.104358,264,2.11200000e+06,2,22,9
-0.340367,0.174128,0.154358,6,4.80000000e+04,2,22,10
-0.340367,0.174128,0.204358,53,4.24000000e+05,2,22,11
-0.340367,0.224128,-0.245642,391,3.12800000e+06,2,23,2
-0.340367,0.224128,-0.195642,200,1.60000000e+06,2,23,3
-0.340367,0.224128,0.104358,416,3.32800000e+06,2,23,9
-0.340367,0.224128,0.154358,56,4.48000000e+05,2,23,10
-0.340367,0.274128,-0.195642,302,2.41600000e+06,2,24,3
-0.340367,0.274128,-0.145642,334,2.67200000e+06,2,24,4
-0.340367,0.274128,-0.095642,3,2.40000000e+04,2,24,5
-0.340367,0.274128,0.054358,3,2.40000000e+04,2,24,8
-0.340367,0.274128,0.104358,438,3.50400000e+06,2,24,9
-0.340367,0.274128,0.154358,9,7.20000000e+04,2,24,10
-0.340367,0.324128,-0.145642,68,5.44000000e+05,2,25,4
-0.340367,0.324128,-0.095642,455,3.64000000e+06,2,25,5
-0.340367,0.324128,-0.045642,350,2.80000000e+06,2,25,6
-0.340367,0.324128,0.004358,440,3.52000000e+06,2,25,7
-0.340367,0.324128,0.054358,464,3.71200000e+06,2,25,8
-0.340367,0.324128,0.104358,234,1.87200000e+06,2,25,9
-0.340367,0.374128,0.004358,35,2.80000000e+05,2,26,7
-0.340367,0.374128,0.054358,80,6.40000000e+05,2,26,8
-0.290367,-0.725872,-0.295642,25,2.00000000e+05,3,4,1
-0.290367,-0.675872,-0.345642,55,4.40000000e+05,3,5,0
-0.290367,-0.675872,-0.295642,708,5.66400000e+06,3,5,1
-0.290367,-0.675872,-0.245642,121,9.68000000e+05,3,5,2
-0.290367,-0.625872,-0.345642,231,1.84800000e+06,3,6,0
-0.290367,-0.625872,-0.295642,154,1.23200000e+06,3,6,1
-0.290367,-0.625872,-0.245642,390,3.12000000e+06,3,6,2
-0.290367,-0.625872,-0.195642,4,3.20000000e+04,3,6,3
-0.290367,-0.575872,-0.345642,146,1.16800000e+06,3,7,0
-0.290367,-0.575872,-0.295642,207,1.65600000e+06,3,7,1
-0.290367,-0.575872,-0.245642,66,5.28000000e+05,3,7,2
-0.290367,-0.575872,-0.195642,315,2.52000000e+06,3,7,3
-0.290367,-0.525872,-0.345642,39,3.12000000e+05,3,8,0
-0.290367,-0.525872,-0.295642,340,2.72000000e+06,3,8,1
-0.290367,-0.525872,-0.195642,314,2.51200000e+06,3,8,3
-0.290367,-0.525872,-0.145642,233,1.86400000e+06,3,8,4
-0.290367,-0.475872,-0.295642,439,3.51200000e+06,3,9,1
-0.290367,-0.475872,-0.195642,12,9.60000000e+04,3,9,3
-0.290367,-0.475872,-0.145642,430,3.44000000e+06,3,9,4
-0.290367,-0.475872,-0.095642,25,2.00000000e+05,3,9,5
-0.290367,-0.475872,-0.045642,90,7.20000000e+05,3,9,6
-0.290367,-0.425872,-0.295642,286,2.28800000e+06,3,10,1
-0.290367,-0.425872,-0.245642,57,4.56000000e+05,3,10,2
-0.290367,-0.425872,-0.145642,276,2.20800000e+06,3,10,4
-0.290367,-0.425872,-0.095642,262,2.09600000e+06,3,10,5
-0.290367,-0.425872,-0.045642,209,1.67200000e+06,3,10,6
-0.290367,-0.425872,0.004358,58,4.64000000e+05,3,10,7
-0.290367,-0.375872,-0.245642,367,2.93600000e+06,3,11,2
-0.290367,-0.375872,-0.195642,172,1.37600000e+06,3,11,3
-0.290367,-0.375872,-0.145642,384,3.07200000e+06,3,11,4
-0.290367,-0.375872,-0.095642,548,4.38400000e+06,3,11,5
-0.290367,-0.375872,-0.045642,44,3.52000000e+05,3,11,6
-0.290367,-0.375872,0.004358,323,2.58400000e+06,3,11,7
-0.290367,-0.375872,0.054358,46,3.68000000e+05,3,11,8
-0.290367,-0.325872,-0.195642,335,2.68000000e+06,3,12,3
-0.290367,-0.325872,-0.145642,754,6.03200000e+06,3,12,4
-0.290367,-0.325872,-0.095642,476,3.80800000e+06,3,12,5
-0.290367,-0.325872,0.004358,251,2.00800000e+06,3,12,7
-0.290367,-0.325872,0.054358,218,1.74400000e+06,3,12,8
-0.290367,-0.325872,0.104358,17,1.36000000e+05,3,12,9
-0.290367,-0.275872,-0.195642,20,1.60000000e+05,3,13,3
-0.290367,-0.275872,-0.145642,258,2.06400000e+06,3,13,4
-0.290367,-0.275872,-0.095642,747,5.97600000e+06,3,13,5
-0.290367,-0.275872,-0.045642,412,3.29600000e+06,3,13,6
-0.290367,-0.275872,0.004358,478,3.82400000e+06,3,13,7
-0.290367,-0.275872,0.054358,456,3.64800000e+06,3,13,8
-0.290367,-0.275872,0.104358,42,3.36000000e+05,3,13,9
-0.290367,-0.225872,-0.095642,544,4.35200000e+06,3,14,5
-0.290367,-0.225872,-0.045642,944,7.55200000e+06,3,14,6
-0.290367,-0.225872,0.004358,756,6.04800000e+06,3,14,7
-0.290367,-0.225872,0.054358,254,2.03200000e+06,3,14,8
-0.290367,-0.225872,0.104358,43,3.44000000e+05,3,14,9
-0.290367,-0.175872,-0.195642,9,7.20000000e+04,3,15,3
-0.290367,-0.175872,-0.145642,30,2.40000000e+05,3,15,4
-0.290367,-0.175872,-0.095642,483,3.86400000e+06,3,15,5
-0.290367,-0.175872,-0.045642,1165,9.32000000e+06,3,15,6
-0.290367,-0.175872,0.004358,1229,9.83200000e+06,3,15,7
-0.290367,-0.175872,0.054358,445,3.56000000e+06,3,15,8
-0.290367,-0.175872,0.104358,63,5.04000000e+05,3,15,9
-0.290367,-0.175872,0.154358,34,2.72000000e+05,3,15,10
-0.290367,-0.125872,-0.195642,16,1.28000000e+05,3,16,3
-0.290367,-0.125872,-0.145642,345,2.76000000e+06,3,16,4
-0.290367,-0.125872,-0.095642,327,2.61600000e+06,3,16,5
-0.290367,-0.125872,-0.045642,175,1.40000000e+06,3,16,6
-0.290367,-0.125872,0.004358,154,1.23200000e+06,3,16,7
-0.290367,-0.125872,0.054358,355,2.84000000e+06,3,16,8
-0.290367,-0.125872,0.104358,616,4.92800000e+06,3,16,9
-0.290367,-0.125872,0.154358,555,4.44000000e+06,3,16,10
-0.290367,-0.125872,0.204358,57,4.56000000e+05,3,16,11
-0.290367,-0.075872,-0.145642,527,4.21600000e+06,3,17,4
-0.290367,-0.075872,-0.095642,165,1.32000000e+06,3,17,5
-0.290367,-0.075872,0.154358,129,1.03200000e+06,3,17,10
-0.290367,-0.075872,0.204358,432,3.45600000e+06,3,17,11
-0.290367,-0.075872,0.254358,35,2.80000000e+05,3,17,12
-0.290367,-0.025872,-0.345642,198,1.58400000e+06,3,18,0
-0.290367,-0.025872,-0.295642,125,1.00000000e+06,3,18,1
-0.290367,-0.025872,-0.145642,837,6.69600000e+06,3,18,4
-0.290367,-0.025872,-0.095642,209,1.67200000e+06,3,18,5
-0.290367,-0.025872,0.154358,17,1.36000000e+05,3,18,10
-0.290367,-0.025872,0.204358,195,1.56000000e+06,3,18,11
-0.290367,-0.025872,0.254358,298,2.38400000e+06,3,18,12
-0.290367,-0.025872,0.304358,13,1.04000000e+05,3,18,13
-0.290367,0.024128,-0.345642,242,1.93600000e+06,3,19,0
-0.290367,0.024128,-0.295642,409,3.27200000e+06,3,19,1
-0.290367,0.024128,-0.245642,101,8.08000000e+05,3,19,2
-0.290367,0.024128,-0.145642,748,5.98400000e+06,3,19,4
-0.290367,0.024128,-0.095642,336,2.68800000e+06,3,19,5
-0.290367,0.024128,-0.045642,23,1.84000000e+05,3,19,6
-0.290367,0.024128,0.154358,22,1.76000000e+05,3,19,10
-0.290367,0.024128,0.204358,334,2.67200000e+06,3,19,11
-0.290367,0.024128,0.254358,310,2.48000000e+06,3,19,12
-0.290367,0.024128,0.304358,27,2.16000000e+05,3,19,13
-0.290367,0.074128,-0.345642,287,2.29600000e+06,3,20,0
-0.290367,0.074128,-0.295642,85,6.80000000e+05,3,20,1
-0.290367,0.074128,-0.245642,237,1.89600000e+06,3,20,2
-0.290367,0.074128,-0.195642,52,4.16000000e+05,3,20,3
-0.290367,0.074128,-0.145642,437,3.49600000e+06,3,20,4
-0.290367,0.074128,-0.095642,433,3.46400000e+06,3,20,5
-0.290367,0.074128,-0.045642,101,8.08000000e+05,3,20,6
-0.290367,0.074128,0.004358,178,1.42400000e+06,3,20,7
-0.290367,0.074128,0.054358,261,2.08800000e+06,3,20,8
-0.290367,0.074128,0.104358,65,5.20000000e+05,3,20,9
-0.290367,0.074128,0.204358,16,1.28000000e+05,3,20,11
-0.290367,0.074128,0.254358,287,2.29600000e+06,3,20,12
-0.290367,0.074128,0.304358,72,5.76000000e+05,3,20,13
-0.290367,0.124128,-0.345642,24,1.92000000e+05,3,21,0
-0.290367,0.124128,-0.295642,524,4.19200000e+06,3,21,1
-0.290367,0.124128,-0.245642,54,4.32000000e+05,3,21,2
-0.290367,0.124128,-0.195642,113,9.04000000e+05,3,21,3
-0.290367,0.124128,-0.145642,367,2.93600000e+06,3,21,4
-0.290367,0.124128,-0.095642,534,4.27200000e+06,3,21,5
-0.290367,0.124128,-0.045642,624,4.99200000e+06,3,21,6
-0.290367,0.124128,0.004358,317,2.53600000e+06,3,21,7
-0.290367,0.124128,0.054358,430,3.44000000e+06,3,21,8
-0.290367,0.124128,0.104358,805,6.44000000e+06,3,21,9
-0.290367,0.124128,0.154358,165,1.32000000e+06,3,21,10
-0.290367,0.124128,0.204358,24,1.92000000e+05,3,21,11
-0.290367,0.124128,0.254358,306,2.44800000e+06,3,21,12
-0.290367,0.124128,0.304358,192,1.53600000e+06,3,21,13
-0.290367,0.174128,-0.295642,95,7.60000000e+05,3,22,1
-0.290367,0.174128,-0.245642,288,2.30400000e+06,3,22,2
-0.290367,0.174128,-0.195642,8,6.40000000e+04,3,22,3
-0.290367,0.174128,-0.145642,29,2.32000000e+05,3,22,4
-0.290367,0.174128,-0.095642,5,4.00000000e+04,3,22,5
-0.290367,0.174128,0.104358,134,1.07200000e+06,3,22,9
-0.290367,0.174128,0.154358,491,3.92800000e+06,3,22,10
-0.290367,0.174128,0.204358,127,1.01600000e+06,3,22,11
-0.290367,0.174128,0.254358,382,3.05600000e+06,3,22,12
-0.290367,0.174128,0.304358,157,1.25600000e+06,3,22,13
-0.290367,0.224128,-0.245642,143,1.14400000e+06,3,23,2
-0.290367,0.224128,-0.195642,340,2.72000000e+06,3,23,3
-0.290367,0.224128,0.154358,373,2.98400000e+06,3,23,10
-0.290367,0.224128,0.204358,177,1.41600000e+06,3,23,11
-0.290367,0.224128,0.254358,284,2.27200000e+06,3,23,12
-0.290367,0.224128,0.304358,40,3.20000000e+05,3,23,13
-0.290367,0.274128,-0.195642,206,1.64800000e+06,3,24,3
-0.290367,0.274128,-0.145642,347,2.77600000e+06,3,24,4
-0.290367,0.274128,0.104358,130,1.04000000e+06,3,24,9
-0.290367,0.274128,0.154358,440,3.52000000e+06,3,24,10
-0.290367,0.274128,0.204358,9,7.20000000e+04,3,24,11
-0.290367,0.274128,0.254358,116,9.28000000e+05,3,24,12
-0.290367,0.324128,-0.145642,76,6.08000000e+05,3,25,4
-0.290367,0.324128,-0.095642,483,3.86400000e+06,3,25,5
-0.290367,0.324128,-0.045642,491,3.92800000e+06,3,25,6
-0.290367,0.324128,0.004358,8,6.40000000e+04,3,25,7
-0.290367,0.324128,0.054358,49,3.92000000e+05,3,25,8
-0.290367,0.324128,0.104358,442,3.53600000e+06,3,25,9
-0.290367,0.324128,0.154358,62,4.96000000e+05,3,25,10
-0.290367,0.374128,-0.045642,43,3.44000000e+05,3,26,6
-0.290367,0.374128,0.004358,461,3.68800000e+06,3,26,7
-0.290367,0.374128,0.054358,335,2.68000000e+06,3,26,8
-0.290367,0.374128,0.104358,16,1.28000000e+05,3,26,9
-0.240367,-0.725872,-0.295642,269,2.15200000e+06,4,4,1
-0.240367,-0.725872,-0.245642,138,1.10400000e+06,4,4,2
-0.240367,-0.675872,-0.295642,527,4.21600000e+06,4,5,1
-0.240367,-0.675872,-0.245642,431,3.44800000e+06,4,5,2
-0.240367,-0.625872,-0.295642,447,3.57600000e+06,4,6,1
-0.240367,-0.625872,-0.245642,297,2.37600000e+06,4,6,2
-0.240367,-0.625872,-0.195642,63,5.04000000e+05,4,6,3
-0.240367,-0.575872,-0.295642,349,2.79200000e+06,4,7,1
-0.240367,-0.575872,-0.195642,283,2.26400000e+06,4,7,3
-0.240367,-0.525872,-0.295642,337,2.69600000e+06,4,8,1
-0.240367,-0.525872,-0.245642,43,3.44000000e+05,4,8,2
-0.240367,-0.525872,-0.195642,62,4.96000000e+05,4,8,3
-0.240367,-0.525872,-0.145642,397,3.17600000e+06,4,8,4
-0.240367,-0.525872,-0.095642,22,1.76000000e+05,4,8,5
-0.240367,-0.525872,-0.045642,117,9.36000000e+05,4,8,6
-0.240367,-0.475872,-0.295642,156,1.24800000e+06,4,9,1
-0.240367,-0.475872,-0.245642,253,2.02400000e+06,4,9,2
-0.240367,-0.475872,-0.145642,103,8.24000000e+05,4,9,4
-0.240367,-0.475872,-0.095642,360,2.88000000e+06,4,9,5
-0.240367,-0.475872,-0.045642,522,4.17600000e+06,4,9,6
-0.240367,-0.475872,0.004358,169,1.35200000e+06,4,9,7
-0.240367,-0.425872,-0.295642,85,6.80000000e+05,4,10,1
-0.240367,-0.425872,-0.245642,404,3.23200000e+06,4,10,2
-0.240367,-0.425872,-0.145642,44,3.52000000e+05,4,10,4
-0.240367,-0.425872,-0.095642,602,4.81600000e+06,4,10,5
-0.240367,-0.425872,-0.045642,9,7.20000000e+04,4,10,6
-0.240367,-0.425872,0.004358,342,2.73600000e+06,4,10,7
-0.240367,-0.425872,0.054358,21,1.68000000e+05,4,10,8
-0.240367,-0.375872,-0.245642,328,2.62400000e+06,4,11,2
-0.240367,-0.375872,-0.195642,8,6.40000000e+04,4,11,3
-0.240367,-0.375872,-0.145642,83,6.64000000e+05,4,11,4
-0.240367,-0.375872,-0.095642,378,3.02400000e+06,4,11,5
-0.240367,-0.375872,0.004358,99,7.92000000e+05,4,11,7
-0.240367,-0.375872,0.054358,306,2.44800000e+06,4,11,8
-0.240367,-0.375872,0.104358,41,3.28000000e+05,4,11,9
-0.240367,-0.325872,-0.245642,99,7.92000000e+05,4,12,2
-0.240367,-0.325872,-0.195642,490,3.92000000e+06,4,12,3
-0.240367,-0.325872,-0.145642,209,1.67200000e+06,4,12,4
-0.240367,-0.325872,-0.095642,296,2.36800000e+06,4,12,5
-0.240367,-0.325872,-0.045642,2,1.60000000e+04,4,12,6
-0.240367,-0.325872,0.054358,270,2.16000000e+06,4,12,8
